config,margin,actual_events,hit,false_alarm,abs_err_sum,recall,precision,F1,day_err
장기(2012~23)|기존+기간평균패턴|여름전체,0.25,69,19,11,21.0,0.2753623188405797,0.6333333333333333,0.3838383838383838,1.105263157894737
장기(2012~23)|기존+기간평균패턴|여름전체,0.5,69,32,19,50.0,0.463768115942029,0.6274509803921569,0.5333333333333333,1.5625
장기(2012~23)|기존+기간평균패턴|여름전체,0.75,69,40,22,76.0,0.5797101449275363,0.6451612903225806,0.6106870229007634,1.9
장기(2012~23)|기존+기간평균패턴|여름전체,1.0,69,43,38,89.0,0.6231884057971014,0.5308641975308642,0.5733333333333334,2.0697674418604652
장기(2012~23)|기존+기간평균패턴|여름전체,1.25,69,46,47,99.0,0.6666666666666666,0.4946236559139785,0.5679012345679012,2.152173913043478
장기(2012~23)|기존+기간평균패턴|여름전체,1.5,69,48,53,113.0,0.6956521739130435,0.4752475247524752,0.5647058823529412,2.3541666666666665
장기(2012~23)|기존모델|20℃+,0.0,69,5,3,10.0,0.07246376811594203,0.625,0.12987012987012986,2.0
장기(2012~23)|기존모델|20℃+,0.25,69,21,12,25.0,0.30434782608695654,0.6363636363636364,0.4117647058823529,1.1904761904761905
장기(2012~23)|기존모델|20℃+,0.5,69,30,18,39.0,0.43478260869565216,0.625,0.5128205128205128,1.3
장기(2012~23)|기존모델|20℃+,0.75,69,36,26,63.0,0.5217391304347826,0.5806451612903226,0.549618320610687,1.75
장기(2012~23)|기존모델|20℃+,1.0,69,41,38,80.0,0.5942028985507246,0.5189873417721519,0.5540540540540541,1.951219512195122
장기(2012~23)|기존모델|20℃+,1.25,69,45,57,103.0,0.6521739130434783,0.4411764705882353,0.5263157894736842,2.2888888888888888
장기(2012~23)|기존모델|20℃+,1.5,69,48,70,110.0,0.6956521739130435,0.4067796610169492,0.5133689839572193,2.2916666666666665
장기(2012~23)|기존모델|24℃+,0.0,69,4,3,11.0,0.057971014492753624,0.5714285714285714,0.10526315789473684,2.75
장기(2012~23)|기존모델|24℃+,0.25,69,16,7,16.0,0.2318840579710145,0.6956521739130435,0.34782608695652173,1.0
장기(2012~23)|기존모델|24℃+,0.5,69,29,12,35.0,0.42028985507246375,0.7073170731707317,0.5272727272727272,1.206896551724138
장기(2012~23)|기존모델|24℃+,0.75,69,37,22,68.0,0.5362318840579711,0.6271186440677966,0.578125,1.837837837837838
장기(2012~23)|기존모델|24℃+,1.0,69,41,29,82.0,0.5942028985507246,0.5857142857142857,0.5899280575539568,2.0
장기(2012~23)|기존모델|24℃+,1.25,69,46,49,99.0,0.6666666666666666,0.4842105263157895,0.5609756097560976,2.152173913043478
장기(2012~23)|기존모델|24℃+,1.5,69,49,62,108.0,0.7101449275362319,0.44144144144144143,0.5444444444444444,2.204081632653061
장기(2012~23)|기존모델|26℃+,0.0,69,2,4,2.0,0.028985507246376812,0.3333333333333333,0.05333333333333334,1.0
장기(2012~23)|기존모델|26℃+,0.25,69,14,7,15.0,0.2028985507246377,0.6666666666666666,0.3111111111111111,1.0714285714285714
장기(2012~23)|기존모델|26℃+,0.5,69,26,13,30.0,0.37681159420289856,0.6666666666666666,0.48148148148148145,1.1538461538461537
장기(2012~23)|기존모델|26℃+,0.75,69,35,20,56.0,0.5072463768115942,0.6363636363636364,0.5645161290322581,1.6
장기(2012~23)|기존모델|26℃+,1.0,69,38,32,65.0,0.5507246376811594,0.5428571428571428,0.5467625899280576,1.7105263157894737
장기(2012~23)|기존모델|26℃+,1.25,69,46,45,95.0,0.6666666666666666,0.5054945054945055,0.575,2.0652173913043477
장기(2012~23)|기존모델|26℃+,1.5,69,49,55,107.0,0.7101449275362319,0.47115384615384615,0.5664739884393064,2.183673469387755
장기(2012~23)|기존모델|여름전체,0.0,69,4,3,10.0,0.057971014492753624,0.5714285714285714,0.10526315789473684,2.5
장기(2012~23)|기존모델|여름전체,0.25,69,21,13,25.0,0.30434782608695654,0.6176470588235294,0.4077669902912621,1.1904761904761905
장기(2012~23)|기존모델|여름전체,0.5,69,30,18,39.0,0.43478260869565216,0.625,0.5128205128205128,1.3
장기(2012~23)|기존모델|여름전체,0.75,69,36,24,63.0,0.5217391304347826,0.6,0.5581395348837209,1.75
장기(2012~23)|기존모델|여름전체,1.0,69,41,38,83.0,0.5942028985507246,0.5189873417721519,0.5540540540540541,2.024390243902439
장기(2012~23)|기존모델|여름전체,1.25,69,44,57,97.0,0.6376811594202898,0.43564356435643564,0.5176470588235295,2.2045454545454546
장기(2012~23)|기존모델|여름전체,1.5,69,48,69,113.0,0.6956521739130435,0.41025641025641024,0.5161290322580645,2.3541666666666665
