obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-15,27.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-16,27.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-17,27.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-18,28.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-19,28.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-20,28.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-21,28.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-22,29.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-23,28.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-24,28.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-25,28.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-26,28.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-27,28.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-28,28.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-29,28.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-30,27.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-08-31,27.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-01,27.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-02,27.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-03,27.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-04,28.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-05,28.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-06,28.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-07,28.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-08,27.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-09,27.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-10,27.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-11,28.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-12,28.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-13,27.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-14,27.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-15,27.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-16,27.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-17,27.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-18,27.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-19,27.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-20,27.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-21,26.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-22,26.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-23,26.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-24,25.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-25,24.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-26,25.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-27,25.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-28,25.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-29,25.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-09-30,25.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-01,24.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-02,24.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-03,23.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-04,23.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-05,22.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-06,21.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-07,21.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-08,20.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-09,20.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-10,20.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-11,20.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-12,21.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-13,21.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-14,21.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-15,21.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-16,20.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-17,20.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-18,20.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-19,20.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-20,20.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-21,19.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-22,18.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-23,18.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-24,18.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-25,18.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-26,19.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-27,19.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-28,18.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-29,18.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-30,18.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-10-31,18.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-01,18.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-02,19.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-03,19.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-04,19.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-05,20.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-06,20.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-07,18.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-08,17.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-09,17.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-10,17.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-11,15.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-12,14.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-13,14.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-14,14.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-15,14.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-16,14.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-17,13.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-18,13.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-19,12.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-20,12.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-21,12.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-22,12.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-23,13.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-24,12.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-25,12.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-26,11.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-27,12.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-28,12.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-29,12.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-11-30,11.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-01,11.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-02,10.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-03,10.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-04,10.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-05,10.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-06,10.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-07,10.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-08,10.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-09,11.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-10,11.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-11,12.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-12,12.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-13,12.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-14,12.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-15,12.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-16,12.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-17,10.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-18,9.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-19,8.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-20,8.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-12-21,8.0
