region,h,config,n,rmse,rmse_25plus
남해군,3,기온+풍속|스냅샷,244,0.977993303744556,1.0810241278350805
남해군,3,기온+풍속|패턴,244,0.9827127243909954,1.0334424120836894
남해군,3,기온+풍속+강수|스냅샷,244,0.9782204851494105,1.0813252448866286
남해군,3,기온+풍속+강수|패턴,244,0.9603172516619582,1.0224170436747524
남해군,4,지속성(오늘값 유지),244,1.2074902843854463,1.6217274740226857
남해군,4,수온만|스냅샷,244,1.1496840483933355,1.5062368637422188
남해군,4,수온만|패턴,244,1.1546840950713022,1.5300217733509338
남해군,4,기온|스냅샷,244,1.1152113889462882,1.4104453601854219
남해군,4,기온|패턴,244,1.1208254511703952,1.350697344959568
남해군,4,기온+풍속|스냅샷,244,1.1179249276183758,1.4093357411148575
남해군,4,기온+풍속|패턴,244,1.129094914018621,1.3237376540247383
남해군,4,기온+풍속+강수|스냅샷,244,1.1190211416615252,1.4119046017087833
남해군,4,기온+풍속+강수|패턴,244,1.10533682268084,1.3103587826194625
남해군,5,지속성(오늘값 유지),244,1.3508497629148895,1.9114487604004362
남해군,5,수온만|스냅샷,244,1.2610684521966153,1.7318182478315896
남해군,5,수온만|패턴,244,1.2671860288591164,1.754152681400493
남해군,5,기온|스냅샷,244,1.2235522900290932,1.629376361601362
남해군,5,기온|패턴,244,1.2399454459406967,1.5483377176159023
남해군,5,기온+풍속|스냅샷,244,1.2283256570500942,1.6315930832562087
남해군,5,기온+풍속|패턴,244,1.2535667175240073,1.5073144871995854
남해군,5,기온+풍속+강수|스냅샷,244,1.2280575747126286,1.6311654466474494
남해군,5,기온+풍속+강수|패턴,244,1.2558046987760152,1.512666487127713
남해군,6,지속성(오늘값 유지),244,1.4926459068642797,2.133605569751056
남해군,6,수온만|스냅샷,244,1.376082801800493,1.896784870679296
남해군,6,수온만|패턴,244,1.3813655615708809,1.9119848988982786
남해군,6,기온|스냅샷,244,1.342545405601406,1.7898778892114295
남해군,6,기온|패턴,244,1.3654650163105049,1.69442397143397
남해군,6,기온+풍속|스냅샷,244,1.3473598613726088,1.7977498308959121
남해군,6,기온+풍속|패턴,244,1.373625828798248,1.6465531377321014
남해군,6,기온+풍속+강수|스냅샷,244,1.3470138857919751,1.7963670940913226
남해군,6,기온+풍속+강수|패턴,244,1.3822410565279566,1.654845156755086
남해군,7,지속성(오늘값 유지),244,1.593904886398572,2.329097887530056
남해군,7,수온만|스냅샷,244,1.444112593575205,2.016830029167236
남해군,7,수온만|패턴,244,1.4520774007133823,2.0301288340813968
남해군,7,기온|스냅샷,244,1.4105200901818442,1.893362236733004
남해군,7,기온|패턴,244,1.4509745902215447,1.8045971047186387
남해군,7,기온+풍속|스냅샷,244,1.414143870084633,1.9011504681875573
남해군,7,기온+풍속|패턴,244,1.443613072380217,1.744735767315415
남해군,7,기온+풍속+강수|스냅샷,244,1.4105163578119722,1.8971474359027767
남해군,7,기온+풍속+강수|패턴,244,1.4646929458905351,1.7495744130688833
