code,name,최근접|직선,IDW|직선,크리깅|직선,최근접|바닷길,IDW|바닷길,크리깅|바닷길
fybo4,여수 백야,0.9491823375024367,0.43307175501213324,0.8573143623639599,0.9721934558548193,0.6068783057560132,0.550461724531353
fycm6,여수 덕촌,1.4169093318891368,2.034205602235444,1.9160014857708572,1.4170948479968368,1.8907641966943447,1.8282492814765765
fydl4,여수 대율,1.1868661451643971,1.2276421625823555,0.8983691494343178,1.1818668035249311,1.210890420627126,0.8701238698038292
fydo4,여수 돌산,0.7922395108948751,0.6315233722638766,0.6095515660866392,0.8915986134083509,0.5405889352826915,0.5331473937927745
fygl4,여수 군내,0.8640803687857571,0.34932213958120223,0.5081453756001199,0.8640803687857571,0.3484534758560606,0.45290690861791083
fyhl7,여수 항대,1.638579275482893,1.0976448213304457,1.0632188703132701,1.638579275482893,1.1234160764888466,1.0051914021857271
fyhm6,여수 화산,1.0243456891641076,0.5899482014620961,0.4674620981435624,1.0243456891641076,0.5232218267992074,0.35985583602082355
fyho5,여수 화태,0.5062219431610062,0.3604717721838722,0.41152865263202454,0.5062219431610062,0.36185195326979785,0.4028595643838606
fyjo4,여수 중앙,0.5776302795144245,0.5471128065435723,0.44873017806614884,0.8067458530871753,0.471160978654064,0.5079226775101692
fynm6,여수 나진,2.7846239219579245,2.190406709409935,1.8000535128954047,2.784344403428943,2.506654258958867,2.270133400118146
fysk9,여수 신월2,0.8088966516826784,0.7790977209944676,0.6490167343050224,1.2960048025666657,0.9118912048944625,0.8251689005868804
fysl4,여수 송고,0.723113767761865,0.4807541894996539,0.49594535669664175,0.723113767761865,0.4827593093771025,0.48435916991250194
fywo4,여수 월호,0.5075756693432908,0.5269852292867124,0.49428847298471046,0.5075756693432908,0.523008364325661,0.4809235203931854
fyym6,여수 여자,0.8283757006152842,1.0259414896625465,0.6912495422773702,1.6591512106272976,1.9032743306147837,1.7861132477749224
gi086,거제 일운,1.0011221604332297,0.7901239916798573,0.7929193298609987,1.0011221604332297,0.8339334692262445,0.9181592634394953
km001,여수 신월,1.3167963274462118,1.1067553583954133,1.223243700940907,1.3167963274462118,1.095445278217542,1.2174133991271525
tb087,통영 비산도,0.7513201496120776,0.6960646310405993,0.6598055191238398,0.8165862567751789,0.7087711750206489,0.6306647890289601
ty004,통영 영운,0.9035587176074301,0.7798866445166163,0.7865529154474851,0.9035587176074301,0.8160383667942099,0.6962303232615796
ty005,통영 사량,1.0100527947584947,0.8863376671573602,1.2849580790029573,1.0100527947584947,0.9456684067610572,1.1798507736022097
wc001,완도 청산,1.3848905581032378,1.1812681267212226,1.1445742504582797,0.8808807068338658,1.093361390497968,1.079765387428302
wk094,완도 금일,0.8071678545105666,0.6472830105791428,0.7099614515273622,0.7560622028939212,1.002102199038594,0.805629264394139
wn087,완도 노화도,1.993016359102522,1.4528495849944787,1.5572049003058994,2.00831740464853,1.4524238183616505,1.4972260778304185
